Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return
2023-02-07,AAPL,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,83322600,,
2023-02-08,AAPL,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,64120100,-0.017652737376545935,-0.017652737376545935
2023-02-09,AAPL,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,56007100,-0.006911552556695955,-0.02456428993324189
2023-02-10,AAPL,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,57450700,0.0009279472007650558,-0.023636342732476834
2023-02-13,AAPL,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,62199000,0.01880677902118011,-0.004829563711296725
2023-02-14,AAPL,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,61707600,-0.004224953717818392,-0.009054517429115116
2023-02-15,AAPL,153.11000061035156,155.5,152.8800048828125,155.3300018310547,65573800,0.013903426404976438,0.004848908975861321
2023-02-16,AAPL,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,68167900,-0.010429376798369527,-0.005580467822508206
2023-02-17,AAPL,152.35000610351562,153.0,150.85000610351562,152.5500030517578,59144100,-0.007546702305912589,-0.013127170128420795
2023-02-21,AAPL,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,58867200,-0.026679824600448265,-0.03980699472886906
2023-02-22,AAPL,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,51011300,0.0028960664530148783,-0.03691092827585418
2023-02-23,AAPL,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,48394200,0.0032905125399556034,-0.03362041573589858
2023-02-24,AAPL,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,55469600,-0.018005269695533066,-0.051625685431431645
2023-02-27,AAPL,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,44998500,0.008247504598905886,-0.04337818083252576
2023-02-28,AAPL,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,50547000,-0.003447772533457294,-0.04682595336598305
2023-03-01,AAPL,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,55479000,-0.014246021649447993,-0.061071975015431046
2023-03-02,AAPL,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,52238100,0.0041291453691869595,-0.056942829646244086
2023-03-03,AAPL,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,70732300,0.035090089703815774,-0.021852739942428312
2023-03-06,AAPL,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,87558000,0.01853938339660255,-0.003313356545825763
2023-03-07,AAPL,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,56182000,-0.014496494188358522,-0.017809850734184285
2023-03-08,AAPL,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,47204800,0.00837723590066819,-0.009432614833516095
2023-03-09,AAPL,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,53833600,-0.014914625839747453,-0.024347240673263548
2023-03-10,AAPL,150.2100067138672,150.94000244140625,147.61000061035156,148.5,68572400,-0.0138787196275717,-0.03822596030083525
2023-03-13,AAPL,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,84457100,0.013266001486216261,-0.024959958814618988
2023-03-14,AAPL,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,73695900,0.01408915464869298,-0.010870804165926007
2023-03-15,AAPL,151.19000244140625,153.25,149.9199981689453,152.99000549316406,77167900,0.0026214638237991306,-0.008249340342126876
2023-03-16,AAPL,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,76161100,0.018694035607962345,0.010444695265835469
2023-03-17,AAPL,156.0800018310547,156.74000549316406,154.27999877929688,155.0,98944600,-0.00545400109224925,0.004990694173586219
